mgrtomsa:confidence,id,msa,cleanedtweet,cleanedtweet2
0.6863,4610,روعة المغربية لو لم تنالو الضرب المبرح لماذا قال بومدين احتقرونا المعاربة أجيبي يا الهي,روعه المغربيه لوكان ماكليتوش طريحة علاش قال بومدين حكرونا لمراركة جاوبي يالله ههه,روعه المغربيه لوكان ماكليتوش طريحة علاش قال بومدين حكرونا لمراركة جاوبي يالله
1.0,4618,شاهدت كل شيء يبارك العشر الأواخر لماذا يقولون رمضان غدا,شفت كلشي كايبارك العواشر علاش قالو رمضان غدا,شفت كلشي كايبارك العواشر علاش قالو رمضان غدا
1.0,4621,الشرطة التجأت لإطلاق الرصاص في مدينة تازة لهذا السبب,البوليس قلبها قرطاس فتازة وها علاش,البوليس قلبها قرطاس فتازة وها علاش
1.0,4624,تلك الحثالة كاشف ة المنتحلات قامت بحظري لاني اعطيتها سبب لبحثها,ديك الجيفه د كاشفه المنتحلات بلوكاتني حيت عطيتها علاش تقلب,ديك الجيفه د كاشفه المنتحلات بلوكاتني حيت عطيتها علاش تقلب
0.6583,4630,علي أسألك لماذا الذين عملوا لكنزة دعاء نفسهم الذيم عملوا لسهيلة و قي شهر واحد,علي نسقسيك علاش لي داروا لكنزة دعاء نفسهم لي داروا لسهيلة و في شهر واحد,علي نسقسيك علاش لي داروا لكنزة دعاء نفسهم لي داروا لسهيلة و في شهر واحد
1.0,4637,"هل السيارات الكهربائية لا تلوث الهواء و الأغلبية يقولون نعم , لماذا السيارات العادية تعتمد على حرق المازوت",واش السيارات الكهربائية لا تلوث الهواء الأغلبية يقولون نعم علاش حيت السيارات العادية تعتمد على حرق المازوط,واش السيارات الكهربائية لا تلوث الهواء الأغلبية يقولون نعم علاش حيت السيارات العادية تعتمد على حرق المازوط
1.0,4649,نسرين ، لا لاخسارة عليك  كيف ننساك كل عام و أنت بخير رمضانك مبارك,ح نسرين رة ههههههههه لالا خساره عليك كيفاش ننساك كل عام وانتي بخير صحا رمضانكم,ح نسرين رة لالا خساره عليك كيفاش ننساك كل عام وانتي بخير صحا رمضانكم
0.6815,4652,كروش في جولة ويقدم لما لا بالبيضاء,كروش في جولة ويقدم علاش لا بالبيضاء,كروش في جولة ويقدم علاش لا بالبيضاء
1.0,4654,أريد معرفة لماذا الخليج يحبون السمبوسة هلبا زيت,خاطري نعرف علاش الخليج يحبوا السمبوسة هلبا زيتت زييييييت,خاطري نعرف علاش الخليج يحبوا السمبوسة هلبا زيتت زيت
1.0,4657,لماذا الخيط الأبيض يذهب فقط لسكان القوادس,علاش الخيط البيض تايدوز غير سكان القوادس,علاش الخيط البيض تايدوز غير سكان القوادس
1.0,4661,من هذا أين انتبهت لماذا أنت هكذا,شيكو هادا وين انتبهت علاش راك داير,شيكو هادا وين انتبهت علاش راك داير
0.6774,4662,لماذا يا عزيزي غدرني هواك فأنا مجروح فمن يداويني,علاش يا قلبي هواك غدرني راني مجروح شكون اللي يداويني,علاش يا قلبي هواك غدرني راني مجروح شكون اللي يداويني
1.0,4663,جزائرية تتساءل لماذا المغاربة والتوانسة احسن منا,جزائرية تتساءل علاش المغاربة والتوانسة حسن منا,جزائرية تتساءل علاش المغاربة والتوانسة حسن منا
0.6693,4668,قبل الازمه لماذا لا يسيرا ويفكروا في اي ازمه بامكانها ان تحدث,قبل الازمه علاش مايشروش ويدسوا ويفكروا في اي ازمه ممكن تصير,قبل الازمه علاش مايشروش ويدسوا ويفكروا في اي ازمه ممكن تصير
1.0,4669,فديو جزائرية لماذا المغربة والتونسيين احسن منا,فيديو جزائرية علاش المغاربة والتوانسة حسن منا,فيديو جزائرية علاش المغاربة والتوانسة حسن منا
1.0,4670,مجبر على أكلك انت لي و أنا لك لماذا لا أحبك,محتمة ناكلك نتي ليا وانا ليك علاش منبغيكش,محتمة ناكلك نتي ليا وانا ليك علاش منبغيكش
1.0,4671,من شكلها الأخضر و مكوناتها انها تبدو سيئة كيف كلتها,من شكلها الأخضر و مكوناتها باينه مَش بنينه كيفاش كليتها,من شكلها الأخضر و مكوناتها باينه مش بنينه كيفاش كليتها
1.0,4673,من الأول قل لنا أنها شوربة دون أن تعقد الموضوع,من اول تقول شوربه و علاش تعقد في الموضوع,من اول تقول شوربه و علاش تعقد في الموضوع
1.0,4676,وأنا لماذا يا ماما  شهر رمضان سوف لن أصومه لأني صغير السن,وانا علاش ماما وكلاتولي و رمضان كامل ناكلو اتفو انا صغيرة,وانا علاش ماما وكلاتولي و رمضان كامل ناكلو اتفو انا صغيرة
0.6773,4681,عبدالجليل ليس هنا انهم يقاومون ذلك الأمر لماذا لا تحسبوه لهم,عبدالجليل مكانوش كايقاومو هداكشي علاش ماتحسبوش ليهم,عبدالجليل مكانوش كايقاومو هداكشي علاش ماتحسبوش ليهم
1.0,4687,سوف أعلم قلبي كيف ينساك و لن يفكر فيك مجددا,غادي نعلم قلبي كيفاش ينساك و ما يبغاش يفكر فيك,غادي نعلم قلبي كيفاش ينساك و ما يبغاش يفكر فيك
1.0,4688,السؤال الذي يفرض نفسه لماذا كل ما أغسل السيارة الجو يصبح رياح و تراب,السؤال اللي يفرض نفسه علاش كل ما نغسل السيارة الجو يبدا ريح و تراب,السؤال اللي يفرض نفسه علاش كل ما نغسل السيارة الجو يبدا ريح و تراب
1.0,4688,السؤال الذي يفرض نفسه هو لماذا عندما أغسل السيارة يصبح الجو متقلبا رياح و أتربة,السؤال اللي يفرض نفسه علاش كل ما نغسل السيارة الجو يبدا ريح و تراب,السؤال اللي يفرض نفسه علاش كل ما نغسل السيارة الجو يبدا ريح و تراب
1.0,4688,السؤال اللي يفرض نفسه لماذا كلما أغسل السيارة يكون الطقس ريحا  وترابا,السؤال اللي يفرض نفسه علاش كل ما نغسل السيارة الجو يبدا ريح و تراب,السؤال اللي يفرض نفسه علاش كل ما نغسل السيارة الجو يبدا ريح و تراب
1.0,4690,عوتاني منذ كنت صغيرا كنت أذهب مع الوالدة الى الحديقة لتقبلني النساء لا أعرف لماذا لا يقبلونني الأن,عوتاني ملي كونت صغير كنمشي مع الواليدة لجردة كيبوسوني العيالات دب معرفتش علاش مكيبغيوش ابوسوني مزال,عوتاني ملي كونت صغير كنمشي مع الواليدة لجردة كيبوسوني العيالات دب معرفتش علاش مكيبغيوش ابوسوني مزال
0.6694,4706,عنما اعود الى المنزل اريك جبال المغرب كيف تظهر من الجزائر,كي نمشي للدار نوريلك جبال المغرب كيفاش تبان من دزاير غوز بون بون,كي نمشي للدار نوريلك جبال المغرب كيفاش تبان من دزاير غوز بون بون
1.0,4707,اقصد الايميل حاله جيد و تمام و الامور منظمة لماذا الاغلاق لماذا,قصدي الايميل حاله تمام وأموره منظمة علاش التسكير علاش,قصدي الايميل حاله تمام وأموره منظمة علاش التسكير علاش
1.0,4711,صاحب اللغة انجليزية الدرس كيف تجيب على الاسئلة,مول لونكلي الدرس كيفاش تجاوب على أسئلة,مول لونكلي الدرس كيفاش تجاوب على أسئلة
1.0,4712,كيف تظهر الملابس عند الناس منذ ان تلبسهم البنت,كيفاش كيبانو الحوايج عند المانكان وملي كتلبسهم البنت,كيفاش كيبانو الحوايج عند المانكان وملي كتلبسهم البنت
1.0,4727,منصور حرام عليك كلامها مجروح وهي تبكي  كل شيء مبين لماذا لما سهيلة  تبكي قلبي يتقطع,منصور حرام عليك كلامها مجروح والبكية حكمتها مبين كلشي علاش علاش لما سهيلة تبكي قلبي يتقطع,منصور حرام عليك كلامها مجروح والبكية حكمتها مبين كلشي علاش علاش لما سهيلة تبكي قلبي يتقطع
0.6765,4730,روعة المغربية تعالي هنا يا شقيتي كيف عرفت المشلول عقيم,روعه المغربيه أجي لهنا مدعوستي كيفاش عرفتي المشلول عقيم,روعه المغربيه أجي لهنا مدعوستي كيفاش عرفتي المشلول عقيم
1.0,4740,رأيتي و المشكل أنه تمت حكايته عند الصحفية و هي قامت برد هكذا الإسلام,شفتي والمشكل حكاه عند صحافية وهي ردت عليه علاش هكا الاسلام,شفتي والمشكل حكاه عند صحافية وهي ردت عليه علاش هكا الاسلام
0.6815,4744,هنالك بنات لم ارد اسالهم اذا كانت هذه مشيتهم كالرقص  (ضحك),كاين شي بنات ماكرهتش نسولهم ملي هادي هي المشيا ديالك الشطيح كيفاش كاديري ليه ههههههههههههههههههههههههههههههههه,كاين شي بنات ماكرهتش نسولهم ملي هادي هي المشيا ديالك الشطيح كيفاش كاديري ليه
1.0,4749,خضراوية لمذا أتيتي بعبدو و جوانا,خضراوية علاش جايبة عبدو و جوانا,خضراوية علاش جايبة عبدو و جوانا
1.0,4756,اذهب و رقي هذه هي حكت باسمها فلماذا تتهمنا جميعا لا يوجد منافق مثلك أنت,روح رقي هاذي حكات باسمها علاش تلم فينا مكانش منافق قدك نتا,روح رقي هاذي حكات باسمها علاش تلم فينا مكانش منافق قدك نتا
1.0,4760,لانه لا تدخل في عقل الصغير ولا عقل الكبير المغرب  في ازمة لاتستطيع المساعدة,لانه لا تدخل في عقل الصغير ولا عقل الكبير المغرب محصورة كيفاش تساعد,لانه لا تدخل في عقل الصغير ولا عقل الكبير المغرب محصورة كيفاش تساعد
1.0,4765,لا أعلم لماذا عندما رأيت منشور الكنزاويين جاء في رأسي أهل الكهف,مش عارفة علاش كي شفت هاد تاق حاره الكنزاويين جا في راسي اهل الكهف,مش عارفة علاش كي شفت هاد تاق حاره الكنزاويين جا في راسي اهل الكهف
1.0,4770,روعه المغربيه لماذا لا نتكلم عنها بالاضافة هي  ضريبة الأندلس ياغبية حمارة,روعه المغربيه علاش مانحكيوش عليها هههههه وزايدون هي ضريبة الأندلس ياغبية حمارة ههه,روعه المغربيه علاش مانحكيوش عليها وزايدون هي ضريبة الأندلس ياغبية حمارة
1.0,4772,حتى وان بقي الاكل  اكملوا لماذا تبذرون التبذير في رمضان,حتى لو بقا الاكل كولو علاش تبذرو التبذير في رمضان,حتى لو بقا الاكل كولو علاش تبذرو التبذير في رمضان
1.0,4776,لماذا تكذبون شذوذ ملككم حتى أمه لطيفة اعترفت,علاش تكذبو شذوذملككم حتى امه لطيفة اعترفت هه,علاش تكذبو شذوذملككم حتى امه لطيفة اعترفت هه
0.6528,4782,ماذا تسمونها ، هذي يقول لها اشتقت لك و يطعنها بسكين مسموم هكذا مثلا بطولة حكيمة صالحي,كيفاش تسموها هذي يقول لها توحشتك ويوغر طعنها بسكين مسموم زعمة هذي بطولة حكيمة صبايحي,كيفاش تسموها هذي يقول لها توحشتك ويوغر طعنها بسكين مسموم زعمة هذي بطولة حكيمة صبايحي
1.0,4788,هاجر لماذا تسجل الخروج؟ أنا حسابي مفتوح دائما أقطع النت فقط,هاج ر وانت علاش ديكوناكتي انا تاعي ديما مفتوح نقطع النت فقط,هاج ر وانت علاش ديكوناكتي انا تاعي ديما مفتوح نقطع النت فقط
1.0,4790,محسن انت لم تعمل اي شيء لماذا,محسن ههههههه ياك ماداير علاش,محسن ياك ماداير علاش
1.0,4795,فديو لماذا الدولة الغربية همشت هذا البطل محمد سالم بيداش,فيديو علاش الدولة المغربية همشات هاذ البطل الأزركي محمد سالم بيدا ش,فيديو علاش الدولة المغربية همشات هاذ البطل الأزركي محمد سالم بيدا ش
0.6643,4798,انا لم افهم لم هذا الهجوم على ساهو انها صغيرة سنة فقط,انا مافهمتش علاش هذا الهجوم على ساهو البعض بانو صح مراض هي مازالها صغيرة سنة فقط,انا مافهمتش علاش هذا الهجوم على ساهو البعض بانو صح مراض هي مازالها صغيرة سنة فقط
1.0,4798,لم افهم لماذا هذا الهجوم على ساهو يبدو ان البعض فعلا مرضى و لا تزال صغيرة في السن 22 سنة  فقط,انا مافهمتش علاش هذا الهجوم على ساهو البعض بانو صح مراض هي مازالها صغيرة سنة فقط,انا مافهمتش علاش هذا الهجوم على ساهو البعض بانو صح مراض هي مازالها صغيرة سنة فقط
1.0,4798,انا لم افهم لماذا هذا الهجوم على ساهو لقد تبين بالفعل انهم مرصى هي ما تزال صغيرة عمرها سنة فقط,انا مافهمتش علاش هذا الهجوم على ساهو البعض بانو صح مراض هي مازالها صغيرة سنة فقط,انا مافهمتش علاش هذا الهجوم على ساهو البعض بانو صح مراض هي مازالها صغيرة سنة فقط
1.0,4801,لن اتكلم عن تفاصيل التاخير، و عندي سؤال: كيف ستنقص ساغة وا لتلاميذ يحضرون متاخرين؟  سيرجعون بعد ذلك مثلا؟,ماغاديش نهضر في تفاصيل التأخير أو عندي سؤال كيفاش تنقصات ساعة والتلاميذ جاو متأخرين مثلا غادي تولي,ماغاديش نهضر في تفاصيل التأخير أو عندي سؤال كيفاش تنقصات ساعة والتلاميذ جاو متأخرين مثلا غادي تولي
0.674,4803,لماذا لا يوجد لا نعاس و لا تعب,علاش لا نعاس و القس,علاش لا نعاس و القس
0.6646,4808,ممتازة هذه أكلة البطيخ أو كيف يعني,مليحة هده ماكلة الد ع كود و كيفاش هههههه,مليحة هده ماكلة الد ع كود و كيفاش
1.0,4814,لماذا الرجل يوقف مع الحق نحن لسنا  في مسجد,علاش الراجل يوقف مع الحق احنا مو في مسجد,علاش الراجل يوقف مع الحق احنا مو في مسجد
0.6693,4817,اقصد لا تتوقع ان داعش متساهلة هكذا لماذا جعلتوا منها قصة  يشعر بالرضى,قصدى ما نحساب داعش ساهلة بكل هكى علاش دايرين منها قصة يشعر بالرضى,قصدى ما نحساب داعش ساهلة بكل هكى علاش دايرين منها قصة يشعر بالرضى
0.6838,4818,حسنا هي ماهية قصتها قولي لي,باهي علاش هي شني قصتها,باهي علاش هي شني قصتها
1.0,4820,شاهدتي أسماء مجنونة لماذا حرام عليك,شفتي اسومتي مهبولة علاش حرام عليها,شفتي اسومتي مهبولة علاش حرام عليها
1.0,4825,اذا فيها الخير لماذا لا تجلس فيها,مني فيها الخير علاش ماتبركش فيها,مني فيها الخير علاش ماتبركش فيها
1.0,4834,لماذا مسحتم الصور التي كتب عليها,علاش مسحتو تصاور لي مكتوبا فيهم,علاش مسحتو تصاور لي مكتوبا فيهم
0.6812,4840,لا افهم كيف يفعلون باميريكا... حتى الغير مثقف يجيد الانجليزية,مافهمتش كيفاش فميريكان البرهوش يلاه كايدوي أو كاااايطرطق لونغلي,مافهمتش كيفاش فميريكان البرهوش يلاه كايدوي أو كايطرطق لونغلي
0.6768,4843,هاجر حسابك ليس جديد لماذا ؟,هاج ر لموش حسابك جديد علاش,هاج ر لموش حسابك جديد علاش
1.0,4849,وصديقاتها تقول لها باي طريقة لفطها وكيف كانت ملامحه عتدما قالها,وصاحبتها تقول ليها باي طريقة قالها و كيفاش كانت الملامح ديالو فاش قالها,وصاحبتها تقول ليها باي طريقة قالها و كيفاش كانت الملامح ديالو فاش قالها
1.0,4850,حارة الكنزاويين اسمعو و لم لا أحد يحب أن يدير أبو بدر  وفوزية,حاره الكنزاويين اسمعو و علاش واحد ما حب يدير ابو بدر و فوزية,حاره الكنزاويين اسمعو و علاش واحد ما حب يدير ابو بدر و فوزية
0.6425,4853,اهلا باحلى عمانية بالنسبة  لدنيا بوتازود مسكينة غلطت والجمهور لم يرحمها لماذا وضعت صورة ابتسام,اهلا باحلى عمانية بالنسبة لدنيا بوتازود مسكينة غلطت والجمهور مرحمناش علاش حطت صورة ابتسام,اهلا باحلى عمانية بالنسبة لدنيا بوتازود مسكينة غلطت والجمهور مرحمناش علاش حطت صورة ابتسام
0.6822,4856,لماذا المغاربة يغضبون من وصف وجوههم,علاش المغربي ة الا قلت ليه بحال وجهك كيتقلق لهاد الدرجة ماعندناش الثقة فالنفس,علاش المغربي ة الا قلت ليه بحال وجهك كيتقلق لهاد الدرجة ماعندناش الثقة فالنفس
0.684,4857,توحشتك سمية كنتي  فعالة  نريد ايهاب في رمضان,و الله توحشت سمية كانت مزهيتنا بريسكوب لازم نهجمو عليها نقولولها ورينا ايهاب كيفاش يكون في رمضان,و الله توحشت سمية كانت مزهيتنا بريسكوب لازم نهجمو عليها نقولولها ورينا ايهاب كيفاش يكون في رمضان
1.0,4861,النفايات كثرت علينا ذلك اليوم( تطوان آسفي بركان راجا )، الرجائيين المحترمين كانو يعرفون السبب .. و اسكتوهم,بلاش الأزبال كترو علينا ديك النهار تطوان بركان آسفي راجا الراجاويين المحترمين كانو عارفين علاش وسكتو دينمهم,بلاش الأزبال كترو علينا ديك النهار تطوان بركان آسفي راجا الراجاويين المحترمين كانو عارفين علاش وسكتو دينمهم
0.6595,4863,وعندما عرفت امك تريزا جائت وقد استقبلتها استقبالا حرا وهل اسمها تريزا هكادا فقط,وكي عرفت جات أمك تريزا علاش ماعملتش استقبال يليق بمقامها ولا ام تريزا في باطل,وكي عرفت جات أمك تريزا علاش ماعملتش استقبال يليق بمقامها ولا ام تريزا في باطل
1.0,4865,رونق العماري لماذا تعيدين قهري ألأنك تعرفين شوقي لك,رونق العماري علاش تزيدي تقهري فيا بيك بش عارفتني اني بشوق لكي,رونق العماري علاش تزيدي تقهري فيا بيك بش عارفتني اني بشوق لكي
0.6666,4870,هل تستطيع أن يمر رمضان بدون سوهاب  ، الجيش السوهابي اريد ان اعرف الدور كيف ، زبيدة انا كل يوم اعاني,تقدر جوز رمضان بلاسوهاب الجيش السوهابي حابة نعرف الدالة كيفاش زبيدة انا كل يوم واع,تقدر جوز رمضان بلاسوهاب الجيش السوهابي حابة نعرف الدالة كيفاش زبيدة انا كل يوم واع
1.0,4874,تحية لبرلمان الاتحاد الاوروبي أعطى جائزة المواطنة لمغربية من هي ولماذا,برافو برلمان الاتحاد الاوروبي عطا لمغربية جائزة المواطنة وها شكون هي وها علاش,برافو برلمان الاتحاد الاوروبي عطا لمغربية جائزة المواطنة وها شكون هي وها علاش
1.0,4876,كرهنا التوضيحات بصراحة لماذا يتكلم مكانك كل من هب ود,كرهنا توضيحات الصراحة علاش لي يجي يهدر فبلاصتك ترقبوا بعد قليل توضيح مهم راح ينزل,كرهنا توضيحات الصراحة علاش لي يجي يهدر فبلاصتك ترقبوا بعد قليل توضيح مهم راح ينزل
1.0,4898,ما عملنا ولا شيء غير انك تغيضهم هذا النهار ورائحة الخريق اعطت سادتي كيف نعمل مع انفسهم المريضة ويعطيه,مادرنا والو غير تزعز خاطرهم هاد نهار وريحة شياط عطات اسيادي كيفاش ندير مع نفوسهم المريضة ويعطيييييه,مادرنا والو غير تزعز خاطرهم هاد نهار وريحة شياط عطات اسيادي كيفاش ندير مع نفوسهم المريضة ويعطيه
1.0,4900,غزلان لماذا الزغاريت ربحتي البكالوريا أو ماذا,غزلان علاش الزغاريت جبتي الباك ولا واش,غزلان علاش الزغاريت جبتي الباك ولا واش
1.0,4902,دنيا الحمد لله لقد كشفته لكن كيف رجعت سهلاوية,دنيا الحمد لله فقتي بيه بصح كيفاش حتى رجعتي سهلاوية,دنيا الحمد لله فقتي بيه بصح كيفاش حتى رجعتي سهلاوية
0.6809,4903,"لماذا ينزعج ""غيزلان"" فقد جاءته فرصة و من بعد ذلك يشترط أمورا",علاش يزعف غيزلان تصحلو و يزيد يتشرط,علاش يزعف غيزلان تصحلو و يزيد يتشرط
1.0,4904,لماذا الاروبيين دخلوا لامريكا هل قتلوا الهنود الحمر هل شردوهم هل اخذوا الارض الخاصة بهم و الان المغرب تعترف,علاش زعما فاش الأوروبيين دخلو لأمريكا أقتلو الهنود الحمر أشردوهوم أخداو الأرض ديالهم ناضت المغرب أعتارفات,علاش زعما فاش الأوروبيين دخلو لأمريكا أقتلو الهنود الحمر أشردوهوم أخداو الأرض ديالهم ناضت المغرب أعتارفات
1.0,4909,ابي قال لي امس لم تضحك وانت ممسك الهاتف فلم اجد ردا,بوي امس قالي علاش لما تشد الموبايل تقعد تتبسم و الله العظيم ما عرفت شن نرد,بوي امس قالي علاش لما تشد الموبايل تقعد تتبسم و الله العظيم ما عرفت شن نرد
0.6573,4915,سوهابية دعوه حب مدير من لماذا هذا عنده شكل مدير وسخ الطلاب,سوهابية دعوه حب مديير شكوون علاش هادا عندو شكل مديير زباالة طلاب,سوهابية دعوه حب مديير شكوون علاش هادا عندو شكل مديير زباالة طلاب
0.6794,4917,يا جماعة هذا شاطئ حطام سفينة في اليونان لماذا نكذبون  علينا مرة وجدت مغربية قالت لك انها لهم,جماعة هذا شاطئ حطام سفينة في اليونان علاش نكذبو على رواحنا مرة لقيت مغربية قالتلك تاعهم,جماعة هذا شاطئ حطام سفينة في اليونان علاش نكذبو على رواحنا مرة لقيت مغربية قالتلك تاعهم
1.0,4922,الصراحة لماذا تقبلين و تبقين مع تلك القبيحة و تساعدينها,الصراحة عتاتك علاش تقلبي او نتي باقية غير فديك الملنة القبيحة تعاوديها ههه,الصراحة عتاتك علاش تقلبي او نتي باقية غير فديك الملنة القبيحة تعاوديها
0.6706,4922,الصراحة اعطتك لما تبحثين ام انت باقية الا في يديك الليونة القبيحة تعيدينها,الصراحة عتاتك علاش تقلبي او نتي باقية غير فديك الملنة القبيحة تعاوديها ههه,الصراحة عتاتك علاش تقلبي او نتي باقية غير فديك الملنة القبيحة تعاوديها
1.0,4922,الصراحة  اشفقت عليك عن ماذا تبحثين  وانت لا زلتي تكررين تلك الملنة القبيحة ههه,الصراحة عتاتك علاش تقلبي او نتي باقية غير فديك الملنة القبيحة تعاوديها ههه,الصراحة عتاتك علاش تقلبي او نتي باقية غير فديك الملنة القبيحة تعاوديها
0.6917,4923,لماذا الكذب يامصور الملاعب اللساعد ابتسام في توثيق حسابها هي نانسي فاخوري فقط,علاش الكذب يامصور الملاعب اللساعد ابتسام في توثيق حسابها هي نانسي فاخوري فقط,علاش الكذب يامصور الملاعب اللساعد ابتسام في توثيق حسابها هي نانسي فاخوري فقط
1.0,4929,لو استشرتيني لاريتك كيف تستغل هده الموجة  لصالحك و تستفد منها ولكن الغرور أعمى بصيرتك,كون استاشرتيني كون وريتك كيفاش تستغلي هاد موجة البوز لصالحك وتستفدي منها ولكن الغرور أعمى بصيرتك,كون استاشرتيني كون وريتك كيفاش تستغلي هاد موجة البوز لصالحك وتستفدي منها ولكن الغرور أعمى بصيرتك
1.0,4937,كلمات العشق الليبي افتحي الباب لكي أظهر لك لماذا حبي اغار عليك من ساحة بيتكم,كلمات العشق الليبي تفتحي الباب نواريك علاش حبي نغار عليك من عتبة حوشكم,كلمات العشق الليبي تفتحي الباب نواريك علاش حبي نغار عليك من عتبة حوشكم
1.0,4943,كيف زار اسطورة الملاكمة الامريكي محمد علي كلاي الذي توفي اليوم السبت يونيو المغرب في مناسبتين المرة,كيفاش زار أسطورة الملاكمة الأمريكي محمد علي كلاي الذي توفي اليوم السبت يونيو المغرب في مناسبتين المرة,كيفاش زار أسطورة الملاكمة الأمريكي محمد علي كلاي الذي توفي اليوم السبت يونيو المغرب في مناسبتين المرة
0.6448,4944,لم تمل وزارة تعليم من مقولة تغير وقت النوم والدراسة,وزارة التربية والتعليم ماكرهوش يقولوا للدراري الي تبدلات ليهم الساعة علاش تنعسوا واتاكم غير النعاس,وزارة التربية والتعليم ماكرهوش يقولوا للدراري الي تبدلات ليهم الساعة علاش تنعسوا واتاكم غير النعاس
0.6812,4945,لماذا تدروسون إذا كنتم تصدقون اي كلمة في التلفاز بدون ان تستعملو عقلكم,هاتشي علاش قراوكوم واليديكوم باش تيقو اي حاجة شفتوها فالتلفزة بلا ما تخدمو گرام ديال لعقل,هاتشي علاش قراوكوم واليديكوم باش تيقو اي حاجة شفتوها فالتلفزة بلا ما تخدمو گرام ديال لعقل
1.0,4946,لرميك الاندلسية لماذا هذه المغربية شجعان هم يمشون بالمضرب حتى قاع البحر,لرميك الاندلسية علاش هدي مغربية اودي فحال هادو غير يمشيو بشطابه حتى نقاع البحر,لرميك الاندلسية علاش هدي مغربية اودي فحال هادو غير يمشيو بشطابه حتى نقاع البحر
1.0,4950,سعداوية أعجبتنا حماقاتنا أنا كذلك أعشق الكلمات التي فيها وصف لكبرياء الرجل لا أعرف لماذا,سعداوية عجباتنا و حمقاتنا أنا بعدا أعشق الكلمات اللي فيها وصف لكبرياء الرجل ما عرفتش علاش,سعداوية عجباتنا و حمقاتنا أنا بعدا أعشق الكلمات اللي فيها وصف لكبرياء الرجل ما عرفتش علاش
1.0,4956,هو لماذا الشخص عندما يريد ترك عمله يشعر بالذني لماذا لا يكون الموضوع بسيط,هو ليش لما الواحد يقرر يسيب شغله يحس بالذنب علاش ميكونش الموضوع بسيط جدا مثلا,هو ليش لما الواحد يقرر يسيب شغله يحس بالذنب علاش ميكونش الموضوع بسيط جدا مثلا
0.6702,4960,علاقتي بربنا لماذا لم افهم لم ترد ان تقوم بحضري شماتة ربما لو اقول لها ان تعمل لي متابعة سوف تقوم بحضري,علاقتي بربنا بصح علاش مافهمتش ماحبتش تبلوكيني زكارة خخخ بلاك دوكزنقوللها ديريلي فلو تبلوكيني,علاقتي بربنا بصح علاش مافهمتش ماحبتش تبلوكيني زكارة خ بلاك دوكزنقوللها ديريلي فلو تبلوكيني
0.6875,4969,كيف قامت الوزارة بفصل المراقببن و خولت لهم التزمت في التلامذة في إمتحن الباكالوريا؟ صورة,ها كيفاش خلعات الوزارة الأساتذة المراقبين وخلاتهم يزمتو التلاميذ فامتحانات الباكالوريا صورة,ها كيفاش خلعات الوزارة الأساتذة المراقبين وخلاتهم يزمتو التلاميذ فامتحانات الباكالوريا صورة
0.66,4976,اريد ان اعرف لم بوتفليقة لم لم يتزوج,بغيت نعرف غير علاش بوتفليقة ماتزوج كايقولو منين كان فوجدة كمل من راسك ههه,بغيت نعرف غير علاش بوتفليقة ماتزوج كايقولو منين كان فوجدة كمل من راسك
0.6722,4978,محارب غلبو رمضان ; ياسمين هته التغيردة لي لماذا لم تجعلي لي تعين  كيف سأشاهدها ضحك,محارب غلبو رمضان ياسمين هاد تويتة ليا علاش ما درتيليش منشن كيف راح نشوفها ههههههه,محارب غلبو رمضان ياسمين هاد تويتة ليا علاش ما درتيليش منشن كيف راح نشوفها
0.6693,4979,فديوهات الموسيقيين كلها فاشلة ولماذا الصحراء اليومية,فيديوهات الموسيقيين ديال كليميم كاعيين و ها علاش الصحراء اليومية,فيديوهات الموسيقيين ديال كليميم كاعيين و ها علاش الصحراء اليومية
1.0,4980,وانا لما اخترتك يا سارة ذلك مرح للشعب,و أنا علاش خترتك سارة لازم شوية أمبيونس للشعب,و أنا علاش خترتك سارة لازم شوية أمبيونس للشعب
0.6809,4982,بيسا ايهابية هل تيتيز التركي أنساك فينا أم ماذا ، لقد قلقنا عليك أين انت ، المعجب الايهابي الجزائري,بيسا ايهابية هووووبا تيتيز الاتراك نساك فينااا و لا كيفاش تقلقنا عليك وينك هذا الفانز الايهابي لجزاىٔري,بيسا ايهابية هوبا تيتيز الاتراك نساك فينا و لا كيفاش تقلقنا عليك وينك هذا الفانز الايهابي لجزاىري
0.6755,4989,عندما تتحدث مع شخص عزيزفاصي مع مرور الوقت تعلم لماذا,كي تحكي مع واحد عزيز فاصي مع الوقت تعرف علاش,كي تحكي مع واحد عزيز فاصي مع الوقت تعرف علاش
1.0,4992,كيف نحارب هجرة الادمغة نقضوا على الادمغة اصلا كي لا يستطيعوا يهاجروا انت معلم,كيفاش نحاربو هجرة الأدمغة نقضوا على الأدمغة أصلا باش مايقدروش يهاجروا إنت معلم,كيفاش نحاربو هجرة الأدمغة نقضوا على الأدمغة أصلا باش مايقدروش يهاجروا إنت معلم
0.6704,4993,سهلاوية  جزائرية  ساهو لقد استقضت الحلم في حالة رعب  حبيبتي ضعي لنا صورة اريد ان اكمل الحلم  لأنهي الحلم,سهلاويةدزيرية ساهو راني نضت نجري من لمنام يلاا حبيبتي حطيلنا صور لااازم نكمل الحلم نعرف نهاية كيفاش,سهلاويةدزيرية ساهو راني نضت نجري من لمنام يلاا حبيبتي حطيلنا صور لازم نكمل الحلم نعرف نهاية كيفاش
